Gene1	Gene2	pdi	ppi
APP	TFF1	1	0
APP	KAT5	1	0
AR	CALR	1	0
AR	CANX	1	0
AR	CAV1	1	0
AR	FGFR4	1	0
AR	FN1	1	0
AR	SMAD3	1	0
AR	PSMA7	1	0
AR	PTK2	1	0
AR	ROS1	1	0
AR	PRDX2	1	0
AR	THBD	1	0
AR	UBE2I	1	0
AR	XPO1	1	0
AR	TRIM26	1	0
AR	PPIG	1	0
AR	KAT5	1	0
AR	TNPO3	1	0
ARNT	GAPDH	1	0
ARNT	GTF2B	1	0
ARNT	MYC	1	0
ARNT	TFF1	1	0
ARNT	AIP	1	0
ARNT	SETD2	1	0
ARNTL	CHKA	1	0
ARNTL	CRY1	1	0
ARNTL	EPAS1	1	0
ARNTL	PER1	1	0
ZFHX3	MYB	1	0
ATF1	BNIP3L	1	0
ATF1	CREB1	1	0
ATF1	MAPK14	1	0
ATF1	JUN	1	0
ATF1	SMAD3	1	0
ATF1	MAPRE2	1	0
ATF3	CCND1	1	0
ATF3	BNIP3L	1	0
ATF3	FN1	1	0
ATF3	KIF5C	1	0
ATF3	MYH10	1	0
ATF3	PDE4A	1	0
ATF3	YY1	1	0
ATF3	LUZP1	1	0
ATF3	ST7	1	0
ATF3	GOLPH3	1	0
ATF3	PDZD8	1	0
ATF4	NFE2L2	1	0
RERE	PSEN1	1	0
RERE	NSFL1C	1	0
RERE	ARID5B	1	0
BCL6	PDCD2	1	0
BCL6	ZNF274	1	0
BCL6	BCL11A	1	0
KLF9	SIN3B	1	0
KLF5	EGR1	1	0
RUNX1	EP300	1	0
RUNX1	HDAC1	1	0
RUNX1	SMAD3	1	0
RUNX1	MYB	1	0
RUNX1	PAX5	1	0
RUNX1	TLE1	1	0
RUNX1	SUMO1	1	0
RUNX1	MYST3	1	0
RUNX1	HDAC3	1	0
RUNX1	INVS	1	0
CBL	CNOT4	1	0
CEBPA	CEBPB	1	0
CEBPB	CEBPA	1	0
CEBPB	CREB1	1	0
CEBPB	HSF1	1	0
CEBPB	ID2	1	0
CEBPB	STAT1	1	0
CEBPG	PIAS1	1	0
CEBPG	PRPF18	1	0
CEBPG	COQ7	1	0
CEBPG	DENND3	1	0
CEBPG	MYST4	1	0
CEBPG	RIPK4	1	0
KLF6	SERPINH1	1	0
KLF6	MAPK1	1	0
CREB1	APRT	1	0
CREB1	CAMK2G	1	0
CREB1	CREBBP	1	0
CREB1	CREM	1	0
CREB1	DYRK1A	1	0
CREB1	E4F1	1	0
CREB1	EP300	1	0
CREB1	GDNF	1	0
CREB1	NR3C1	1	0
CREB1	HLA-G	1	0
CREB1	HSPG2	1	0
CREB1	JUN	1	0
CREB1	JUNB	1	0
CREB1	JUND	1	0
CREB1	LIF	1	0
CREB1	MLL	1	0
CREB1	MYB	1	0
CREB1	NFE2L2	1	0
CREB1	NFIC	1	0
CREB1	PCK2	1	0
CREB1	PER1	1	0
CREB1	PPP2R4	1	0
CREB1	MAPK1	1	0
CREB1	MAP2K3	1	0
CREB1	PTHLH	1	0
CREB1	RELA	1	0
CREB1	RPLP2	1	0
CREB1	RPS6KA3	1	0
CREB1	SRF	1	0
CREB1	STAT1	1	0
CREB1	TXN	1	0
CREB1	SUMO1	1	0
CREB1	VEGFA	1	0
CREB1	VEZF1	1	0
CREB1	SLC10A3	1	0
CREB1	KAT2B	1	0
CREB1	ZMYM5	1	0
CREB1	CREB3	1	0
CREB1	KAT5	1	0
CREB1	AHSA1	1	0
CREB1	JTB	1	0
CREB1	GORASP1	1	0
ATF2	MAP3K5	1	0
ATF2	AHSA1	1	0
ATF2	RUVBL2	1	0
CREM	APRT	1	0
CREM	CREB1	1	0
CREM	DUSP1	1	0
CREM	MAPK1	1	0
CREM	VEZF1	1	0
CTBP1	SMAD6	1	0
CTBP1	TCF7L2	1	0
CTBP1	IKZF1	1	0
CTBP2	EP300	1	0
CTBP2	TCF7L2	1	0
CTBP2	ZEB1	1	0
CTBP2	UBE2I	1	0
CTBP2	KLF3	1	0
CTBP2	ELAC2	1	0
CUX1	DHCR7	1	0
CUX1	HDAC1	1	0
CUX1	HPCAL1	1	0
CUX1	IRS1	1	0
CUX1	MAPT	1	0
CUX1	MAX	1	0
CUX1	MAP3K4	1	0
CUX1	PURA	1	0
CUX1	RAC1	1	0
CUX1	RPLP2	1	0
CUX1	TNFRSF1A	1	0
CUX1	VCP	1	0
CUX1	NSMAF	1	0
CUX1	BUB3	1	0
CUX1	NOLC1	1	0
CUX1	TM9SF4	1	0
CUX1	MTSS1	1	0
CUX1	TSPAN3	1	0
CUX1	TIMM17A	1	0
CUX1	CAP2	1	0
CUX1	CRTAP	1	0
CUX1	YWHAQ	1	0
CUX1	AGTPBP1	1	0
CUX1	PPP1R13B	1	0
CUX1	FJX1	1	0
CUX1	TDP2	1	0
CUX1	GORASP1	1	0
DLX2	RB1CC1	1	0
DLX2	TRAFD1	1	0
DLX2	TNPO2	1	0
DNMT3B	ZNF238	1	0
E2F1	BRCA1	1	0
E2F1	CCND3	1	0
E2F1	CCNG2	1	0
E2F1	DHFR	1	0
E2F1	E2F3	1	0
E2F1	E2F4	1	0
E2F1	E2F5	1	0
E2F1	EP300	1	0
E2F1	FGFR2	1	0
E2F1	GTF2H3	1	0
E2F1	HDAC1	1	0
E2F1	MDM2	1	0
E2F1	MRE11A	1	0
E2F1	NBN	1	0
E2F1	NEU1	1	0
E2F1	ORC2	1	0
E2F1	PHB	1	0
E2F1	RRM1	1	0
E2F1	SKP1	1	0
E2F1	SUV39H1	1	0
E2F1	TFE3	1	0
E2F1	VEGFA	1	0
E2F1	REEP5	1	0
E2F1	KAT2B	1	0
E2F1	ARHGEF7	1	0
E2F1	NOL3	1	0
E2F1	CCNE2	1	0
E2F1	NOLC1	1	0
E2F1	POLD3	1	0
E2F1	TOPBP1	1	0
E2F1	NUP62	1	0
E2F1	C2orf28	1	0
E2F3	CDK2	1	0
E2F3	RBL1	1	0
E2F3	SRPR	1	0
E2F3	TFE3	1	0
E2F3	TP53	1	0
E2F3	NOL3	1	0
E2F3	NOLC1	1	0
E2F3	POLD3	1	0
E2F3	RYBP	1	0
E2F4	E2F6	1	0
E2F4	EP300	1	0
E2F4	RB1	1	0
E2F4	SRPR	1	0
E2F4	REEP5	1	0
E2F4	HDAC9	1	0
E2F6	TFDP1	1	0
E4F1	TP53	1	0
EGR1	EGR4	1	0
EGR1	NR3C1	1	0
EGR1	SP1	1	0
EGR1	SRF	1	0
EGR3	SH3GL3	1	0
EGR3	GPR137B	1	0
EGR3	SMYD5	1	0
EGR3	REV1	1	0
EGR3	NXN	1	0
ELF1	BNIP1	1	0
ELF1	CTNND1	1	0
ELF1	MICB	1	0
ELF1	SP1	1	0
ELF1	UCP2	1	0
ELF1	CTR9	1	0
ELF1	MPHOSPH8	1	0
ELF1	LSM12	1	0
ELF1	MICA	1	0
ELF2	MAFG	1	0
ELF2	PCSK6	1	0
ELF2	SERPINB5	1	0
ELF2	REST	1	0
ELF2	TCF12	1	0
ELF2	MKNK1	1	0
ELF2	MAN1A2	1	0
ELF2	RBPMS	1	0
ELF2	SLC35D1	1	0
ELF2	SRRM2	1	0
ELF2	SFMBT1	1	0
ELF2	NUDT15	1	0
ELF2	ERBB2IP	1	0
ELF2	GOLPH3	1	0
ELF2	TOR3A	1	0
ELF2	NACC2	1	0
ELF2	CXorf40B	1	0
ELF3	ARHGEF7	1	0
ELF3	MED23	1	0
ELF3	GORASP1	1	0
ELK4	HPS5	1	0
ELK4	C2CD3	1	0
ELK4	ZBTB11	1	0
EP300	APP	1	0
EP300	CDKN1B	1	0
EP300	FEN1	1	0
EP300	FGFR1	1	0
EP300	FLII	1	0
EP300	NR3C1	1	0
EP300	GTF2B	1	0
EP300	HLA-G	1	0
EP300	HNRNPU	1	0
EP300	JUN	1	0
EP300	SMAD1	1	0
EP300	SMAD2	1	0
EP300	SMAD3	1	0
EP300	SMAD4	1	0
EP300	SMAD7	1	0
EP300	MDM2	1	0
EP300	MAP3K1	1	0
EP300	MITF	1	0
EP300	MYB	1	0
EP300	MYBL1	1	0
EP300	MED1	1	0
EP300	PSMC5	1	0
EP300	PSMD4	1	0
EP300	SMARCA4	1	0
EP300	SRF	1	0
EP300	STAT1	1	0
EP300	STAT3	1	0
EP300	TCF3	1	0
EP300	TCF7L2	1	0
EP300	TCF12	1	0
EP300	PRDX2	1	0
EP300	TFE3	1	0
EP300	TP53	1	0
EP300	UBTF	1	0
EP300	USF2	1	0
EP300	YY1	1	0
EP300	ZNF148	1	0
EP300	NCOA3	1	0
EP300	NCOA1	1	0
EP300	ARHGEF7	1	0
EP300	CCNB2	1	0
EP300	MAML1	1	0
EP300	RBM14	1	0
EP300	NCOA2	1	0
EP300	RAB40B	1	0
EP300	DIDO1	1	0
EP300	TBC1D8	1	0
EP300	NCOA6	1	0
EP300	MYST4	1	0
EP300	EID1	1	0
EP300	BACE2	1	0
EP300	NUPR1	1	0
EP300	SETD2	1	0
EP300	C9orf156	1	0
EP300	GORASP1	1	0
EP300	SNIP1	1	0
EPAS1	HSP90AA1	1	0
EPAS1	SETD2	1	0
NR2F6	PLEC	1	0
NR2F6	GMEB2	1	0
ESR1	PTTG1IP	1	0
ESR1	STOM	1	0
ESR1	NEK2	1	0
ESR1	P2RX4	1	0
ESR1	EXOSC10	1	0
ESR1	PPP4C	1	0
ESR1	REV3L	1	0
ESR1	SLC25A44	1	0
ESR1	TM9SF4	1	0
ESR1	FNBP4	1	0
ESR1	CNIH4	1	0
ESR1	SYBU	1	0
ESR1	MFN1	1	0
ESR1	WDR52	1	0
ESRRG	NCOA3	1	0
ETS2	E2F1	1	0
ETV5	NF2	1	0
ETV5	SLC9A1	1	0
EWSR1	TBP	1	0
EWSR1	SF1	1	0
EWSR1	TAF15	1	0
FOXC1	MPP2	1	0
FOXC1	NPY5R	1	0
FOXC1	OAZ2	1	0
FOXC1	STK17A	1	0
FOXC1	ATP9A	1	0
FOXC1	FAM13A	1	0
FOXC1	SORBS1	1	0
FOXC1	SEPHS2	1	0
FOXC1	WWTR1	1	0
FOXM1	CDC25B	1	0
FOXO1	STAT5B	1	0
FOXO1	RAB40B	1	0
FOXO3	GADD45A	1	0
FOXO3	EPRS	1	0
FOXO3	FASN	1	0
FOXO3	PLK1	1	0
FOXO3	PSMA5	1	0
FOXO3	XPO1	1	0
FOXO3	6-Mar	1	0
FOXO3	FTO	1	0
FOS	JUN	1	0
FOS	SMAD3	1	0
FOSL2	JUN	1	0
FOSL2	BATF	1	0
GABPB1	CSNK1A1	1	0
GABPB1	GABPA	1	0
GABPB1	IDI1	1	0
GABPB1	JUN	1	0
GABPB1	LTBR	1	0
GABPB1	ZNF23	1	0
GABPB1	MTMR4	1	0
GABPB1	SF3A1	1	0
GABPB1	TFG	1	0
GABPB1	LRRC41	1	0
GABPB1	SBNO2	1	0
GABPB1	C2CD3	1	0
GABPB1	PAF1	1	0
GABPB1	EIF5A2	1	0
GABPB1	GATAD1	1	0
GABPB1	PIGO	1	0
GATA3	QRSL1	1	0
NR6A1	NCOR1	1	0
NR6A1	NCOR2	1	0
NR6A1	CDV3	1	0
NR3C1	BCL2L1	1	0
NR3C1	CALR	1	0
NR3C1	CDK4	1	0
NR3C1	CD55	1	0
NR3C1	FOS	1	0
NR3C1	GTF2B	1	0
NR3C1	HDAC2	1	0
NR3C1	NR4A1	1	0
NR3C1	HSPA4	1	0
NR3C1	HSP90AA1	1	0
NR3C1	IL2	1	0
NR3C1	JUN	1	0
NR3C1	SMAD3	1	0
NR3C1	TRIM37	1	0
NR3C1	MYB	1	0
NR3C1	NF1	1	0
NR3C1	NFIC	1	0
NR3C1	PML	1	0
NR3C1	POMC	1	0
NR3C1	MED1	1	0
NR3C1	PPID	1	0
NR3C1	MAPK1	1	0
NR3C1	PRNP	1	0
NR3C1	PSEN1	1	0
NR3C1	PSMD4	1	0
NR3C1	RB1	1	0
NR3C1	SMARCA1	1	0
NR3C1	SMARCA2	1	0
NR3C1	SMARCA4	1	0
NR3C1	SMARCD1	1	0
NR3C1	SMARCE1	1	0
NR3C1	STAT3	1	0
NR3C1	STAT6	1	0
NR3C1	TBP	1	0
NR3C1	TP53	1	0
NR3C1	TSG101	1	0
NR3C1	UBC	1	0
NR3C1	UGCG	1	0
NR3C1	YWHAZ	1	0
NR3C1	NCOA3	1	0
NR3C1	NRIP1	1	0
NR3C1	NCOA1	1	0
NR3C1	KAT2B	1	0
NR3C1	AIP	1	0
NR3C1	NCOR2	1	0
NR3C1	HNRPDL	1	0
NR3C1	RBM14	1	0
NR3C1	NCOA2	1	0
NR3C1	SH2B2	1	0
NR3C1	NES	1	0
NR3C1	STIP1	1	0
NR3C1	RAB40B	1	0
NR3C1	PRPF6	1	0
NR3C1	GORASP2	1	0
NR3C1	RAB11FIP5	1	0
NR3C1	BBS9	1	0
NR3C1	LASS2	1	0
NR3C1	PSAT1	1	0
NR3C1	KLF3	1	0
NR3C1	RHOF	1	0
NR3C1	GORASP1	1	0
NR3C1	DHDDS	1	0
HMGB1	MAPK1	1	0
HMGB1	SGCB	1	0
HMGB1	TP53	1	0
HMGB1	GORASP1	1	0
HMGA1	RARS	1	0
NR4A1	JUND	1	0
NR4A1	TERF2IP	1	0
FOXA1	CALM1	1	0
FOXA1	PRLR	1	0
FOXA1	PUM2	1	0
FOXA1	TNFRSF12A	1	0
FOXA1	FA2H	1	0
FOXA1	C16orf57	1	0
HOXA1	MITF	1	0
HOXA1	ZNF45	1	0
HOXA1	GREB1	1	0
HOXA1	LRRC41	1	0
HOXA1	TACC2	1	0
HOXA1	PALLD	1	0
HOXA1	C20orf12	1	0
HOXA1	ZFP64	1	0
HOXA1	SPATA7	1	0
HOXA1	RUNDC3B	1	0
HOXC11	DTYMK	1	0
HOXC11	ELK4	1	0
HOXC11	TCERG1	1	0
HOXC11	COPS8	1	0
HOXC11	AMOTL2	1	0
HOXC13	SMCHD1	1	0
HSF2	ACACB	1	0
HSF2	F8	1	0
HSF2	HSF1	1	0
HSF2	HSPA4	1	0
HSF2	NDUFV2	1	0
HSF2	ORC5	1	0
HSF2	PFKL	1	0
HSF2	TRA2B	1	0
HSF2	NR2F2	1	0
HSF2	SUMO1	1	0
HSF2	EIF2B5	1	0
HSF2	PEMT	1	0
HSF2	ACOT7	1	0
HSF2	MGA	1	0
HSF2	SPDEF	1	0
HSF2	TRIT1	1	0
HSF2	RBM23	1	0
HSF2	ABHD3	1	0
RBPJ	NOTCH2	1	0
RBPJ	C21orf33	1	0
RBPJ	KAT2B	1	0
RBPJ	NCOR2	1	0
FOXK2	EIF2AK2	1	0
ILF2	EIF2AK2	1	0
ILF2	NOLC1	1	0
ILF3	EIF2AK2	1	0
ILF3	SNRPN	1	0
ILF3	YY1	1	0
ILF3	NOLC1	1	0
ILF3	DDX17	1	0
ILF3	POLD3	1	0
IRF6	MYC	1	0
IRF6	LRRC41	1	0
IRF6	C20orf12	1	0
IRF6	ZFP64	1	0
IRF6	SPATA7	1	0
IRF6	ALG13	1	0
IRF6	NPL	1	0
IRF7	GLRX	1	0
IRF7	IRF6	1	0
IRF7	LIPA	1	0
IRF7	NPC1	1	0
IRF7	NRTN	1	0
IRF7	PCDH9	1	0
IRF7	PDE4A	1	0
IRF7	MAP2K3	1	0
IRF7	STAT1	1	0
IRF7	TFAP2A	1	0
IRF7	SPAG9	1	0
IRF7	B4GALT5	1	0
IRF7	ARHGEF10	1	0
IRF7	PDE4DIP	1	0
IRF7	SART3	1	0
IRF7	ZNF518A	1	0
IRF7	COQ7	1	0
IRF7	TRAK1	1	0
IRF7	DICER1	1	0
IRF7	NARF	1	0
IRF7	NOSIP	1	0
IRF7	ATP6V1D	1	0
IRF7	LCMT1	1	0
IRF7	RSF1	1	0
IRF7	IFT57	1	0
IRF7	PLXNA3	1	0
IRF7	THAP10	1	0
IRF7	TOR3A	1	0
IRF7	USP46	1	0
IRF7	METTL4	1	0
IRF7	HSDL2	1	0
JUN	SLC25A5	1	0
JUN	BCL2L1	1	0
JUN	CTGF	1	0
JUN	FOS	1	0
JUN	NR3C1	1	0
JUN	JUND	1	0
JUN	M6PR	1	0
JUN	SMAD3	1	0
JUN	MEN1	1	0
JUN	NFE2L2	1	0
JUN	PLAT	1	0
JUN	MAPK1	1	0
JUN	PSEN1	1	0
JUN	PSMD4	1	0
JUN	RARS	1	0
JUN	SRF	1	0
JUN	TRAF2	1	0
JUN	VEGFA	1	0
JUN	ARHGEF7	1	0
JUN	SSSCA1	1	0
JUN	AHSA1	1	0
JUN	STAMBP	1	0
JUN	TGOLN2	1	0
JUN	HPSE	1	0
JUN	PGRMC1	1	0
JUN	JTB	1	0
JUN	RNF130	1	0
JUN	GORASP1	1	0
JUNB	FOSL2	1	0
JUNB	IL6	1	0
JUNB	SMAD3	1	0
JUNB	SP1	1	0
JUND	FOSL2	1	0
JUND	JUN	1	0
JUND	SMAD3	1	0
JUND	SMAD4	1	0
JUND	MEN1	1	0
JUND	DRG1	1	0
JUND	NFE2L2	1	0
JUND	PGF	1	0
JUND	MAPK9	1	0
JUND	PSMD4	1	0
JUND	RPLP1	1	0
JUND	SFTPB	1	0
JUND	CFDP1	1	0
JUND	COPS5	1	0
JUND	GORASP1	1	0
JUND	RABEP2	1	0
SMAD1	SMAD3	1	0
SMAD1	SMAD4	1	0
SMAD1	MYC	1	0
SMAD1	STAT3	1	0
SMAD1	BRE	1	0
SMAD1	CTCF	1	0
SMAD1	GCAT	1	0
SMAD1	LASS2	1	0
SMAD1	SAR1A	1	0
SMAD2	SMAD1	1	0
SMAD2	SMAD5	1	0
SMAD2	SMAD6	1	0
SMAD2	MEF2A	1	0
SMAD2	MEF2C	1	0
SMAD2	MYC	1	0
SMAD2	NPC1	1	0
SMAD2	MAPK1	1	0
SMAD2	RBL1	1	0
SMAD2	SKIL	1	0
SMAD2	TERF1	1	0
SMAD2	AXIN1	1	0
SMAD2	KAT2B	1	0
SMAD2	NOL3	1	0
SMAD2	HGS	1	0
SMAD2	TBPL1	1	0
SMAD2	ZFYVE16	1	0
SMAD2	SAR1A	1	0
SMAD2	SMURF1	1	0
SMAD2	SMURF2	1	0
SMAD2	SNIP1	1	0
SMAD3	AR	1	0
SMAD3	MAPK14	1	0
SMAD3	SMAD1	1	0
SMAD3	SMAD2	1	0
SMAD3	SMAD4	1	0
SMAD3	MAX	1	0
SMAD3	MID1	1	0
SMAD3	MYC	1	0
SMAD3	NEDD9	1	0
SMAD3	MAPK1	1	0
SMAD3	SKIL	1	0
SMAD3	SP1	1	0
SMAD3	TFE3	1	0
SMAD3	TGIF1	1	0
SMAD3	TP53	1	0
SMAD3	VDR	1	0
SMAD3	NOL3	1	0
SMAD3	TBPL1	1	0
SMAD3	AHSA1	1	0
SMAD3	CTCF	1	0
SMAD3	LASS2	1	0
SMAD3	QRSL1	1	0
SMAD3	SAR1A	1	0
SMAD4	SMAD5	1	0
SMAD4	MAX	1	0
SMAD4	MAP3K11	1	0
SMAD4	MAPK1	1	0
SMAD4	SP3	1	0
SMAD4	TFE3	1	0
SMAD4	UBE2I	1	0
SMAD4	BRE	1	0
SMAD4	TRAP1	1	0
SMAD4	CTCF	1	0
SMAD4	ERBB2IP	1	0
SMAD5	SMAD2	1	0
SMAD5	TOB1	1	0
SMAD6	SMAD2	1	0
SMAD6	SMAD5	1	0
SMAD6	SMAD7	1	0
SMAD6	SMURF2	1	0
SMAD7	EP300	1	0
SMAD7	SMAD1	1	0
SMAD7	MAP2K3	1	0
SMAD7	MAP2K6	1	0
SMAD7	NR2C2	1	0
SMAD7	TOB1	1	0
SMAD7	CTCF	1	0
SMAD7	ERBB2IP	1	0
SMAD7	PARD3	1	0
SMAD7	SMURF1	1	0
MAF	FOSL1	1	0
MAFG	NQO1	1	0
