PubChem ID	ChEBI ID
CID:6013	CHEBI:17347
CID:11676786	CHEBI:91354
CID:16747683	CHEBI:91419
CID:15951529	CHEBI:68534
CID:5359405	CHEBI:92322
CID:216326	CHEBI:63791
CID:10096043	CHEBI:83656
CID:5311272	CHEBI:86193
CID:8515	CHEBI:90695
CID:46911863	CHEBI:91417
CID:2726824	CHEBI:62878
CID:784	CHEBI:16240
CID:156414	CHEBI:61399
CID:24775005	CHEBI:90863
CID:9880	CHEBI:50743
CID:3385	CHEBI:46345
CID:10074640	CHEBI:63450
CID:2187	CHEBI:2704
CID:107970	CHEBI:63115
CID:104758	CHEBI:5847
CID:11647372	CHEBI:90545
CID:9834591	CHEBI:94640
CID:24785538	CHEBI:88339
CID:6322	CHEBI:16467
CID:6450551	CHEBI:66910
CID:24889392	CHEBI:90217
CID:5328940	CHEBI:39112
CID:22049997	CHEBI:82715
CID:6022	CHEBI:16761
CID:11520894	CHEBI:79700
CID:44607530	CHEBI:61400
CID:187	CHEBI:15355
CID:10341154	CHEBI:94489
CID:24739943	CHEBI:91467
CID:24821094	CHEBI:76612
CID:53480228	CHEBI:37328
CID:11353973	CHEBI:91454
CID:5957	CHEBI:15422
CID:16220172	CHEBI:66901
CID:6830	CHEBI:15996
CID:6137	CHEBI:16643
CID:5494449	CHEBI:91336
CID:25183872	CHEBI:90942
CID:9910224	CHEBI:94573
CID:253602	CHEBI:338412
CID:156413	CHEBI:61399
CID:5994	CHEBI:17026
CID:5329099	CHEBI:91088
CID:24779724	CHEBI:90624
CID:11249248	CHEBI:94983
CID:11442891	CHEBI:94490
CID:9911830	CHEBI:91327
CID:9887712	CHEBI:85078
CID:24905142	CHEBI:50915
CID:2419	CHEBI:92539
CID:6918296	CHEBI:521033
CID:25062766	CHEBI:91407
CID:24748204	CHEBI:125340
CID:25262965	CHEBI:91329
CID:5793	CHEBI:4167
CID:114873	CHEBI:26995
CID:25254071	CHEBI:93753
CID:11488320	CHEBI:132986
CID:9843750	CHEBI:131158
CID:5281004	CHEBI:3207
CID:16722832	CHEBI:90304
CID:24901704	CHEBI:91393
CID:6083	CHEBI:16027
CID:5278396	CHEBI:91372
CID:6076	CHEBI:17489
CID:9804992	CHEBI:94187
CID:2051	CHEBI:75404
CID:3902	CHEBI:6413
CID:4261	CHEBI:132082
CID:5283560	CHEBI:37550
CID:11427553	CHEBI:91441
CID:312145	CHEBI:52289
CID:11327430	CHEBI:91361
CID:11625818	CHEBI:82701
CID:2703	CHEBI:78373
CID:758	CHEBI:48518
CID:11955855	CHEBI:124917
CID:9883029	CHEBI:94965
CID:6741	CHEBI:6888
CID:5757	CHEBI:16469
CID:11234052	CHEBI:94562
CID:49867926	CHEBI:71958
CID:16654980	CHEBI:71954
CID:10427712	CHEBI:94691
CID:11364421	CHEBI:49868
CID:42636535	CHEBI:91449
CID:10461815	CHEBI:90197
CID:5280443	CHEBI:18388
CID:5359597	CHEBI:18421
CID:6456015	CHEBI:38940
CID:5330286	CHEBI:85993
CID:11455910	CHEBI:95008
CID:16097729	CHEBI:51098
CID:9888590	CHEBI:91440
CID:1401	CHEBI:63448
CID:91666372	CHEBI:85342
CID:9950176	CHEBI:93773
CID:62924	CHEBI:5134
CID:25109985	CHEBI:94175
CID:10027278	CHEBI:131196
CID:24771867	CHEBI:125628
CID:24812758	CHEBI:73274
CID:9858940	CHEBI:100922
CID:6851740	CHEBI:94692
CID:17754438	CHEBI:91425
CID:3503	CHEBI:28584
CID:25182616	CHEBI:93768
CID:5426	CHEBI:74947
CID:11707110	CHEBI:75998
CID:44551660	CHEBI:91330
CID:51358113	CHEBI:90682
CID:5284616	CHEBI:9168
CID:57336514	CHEBI:94186
CID:25124816	CHEBI:91401
CID:30165	CHEBI:16382
CID:9884233	CHEBI:2550
CID:17755052	CHEBI:65326
CID:9941095	CHEBI:49603
CID:11152667	CHEBI:131156
CID:5280383	CHEBI:15651
CID:6026	CHEBI:3165
CID:57336509	CHEBI:91423
CID:5318997	CHEBI:78420
CID:446284	CHEBI:28364
CID:967	CHEBI:16742
CID:176871	CHEBI:53509
CID:9875401	CHEBI:68579
CID:1673	CHEBI:38635
CID:2747117	CHEBI:94732
CID:11640390	CHEBI:91402
CID:10142586	CHEBI:70726
CID:443943	CHEBI:31663
CID:253078	CHEBI:94284
CID:10127622	CHEBI:90227
CID:6824	CHEBI:82554
CID:16727404	CHEBI:125354
CID:11511120	CHEBI:132268
CID:4122	CHEBI:34892
CID:5353431	CHEBI:85928
CID:5684	CHEBI:125619
CID:5951	CHEBI:17115
CID:271	CHEBI:29108
CID:3062316	CHEBI:49375
CID:53235510	CHEBI:63451
CID:2044	CHEBI:93757
CID:6442177	CHEBI:68478
