,source,interaction,target,directed,pmid,ndex:citation
312,NCOA1,controls-expression-of,PCKGM,true,"""12118039,9765258""","""pmid:12118039,pmid:9765258"""
313,NCOA1,neighbor-of,PCKGM,,"""12118039,9765258""","""pmid:12118039,pmid:9765258"""
314,NCOA2,in-complex-with,SV421,,,
315,NFAC1,controls-expression-of,IL4,true,"""10623828""","""pmid:10623828"""
316,NFAC2,controls-expression-of,IL13,true,"""15826950""","""pmid:15826950"""
317,NFAC2,controls-expression-of,IL2,true,"""1740658""","""pmid:1740658"""
318,NFAC2,controls-expression-of,IL5,true,"""15826950""","""pmid:15826950"""
319,NFKB1,controls-expression-of,CSF2,true,"""10958685""","""pmid:10958685"""
320,NFKB1,controls-expression-of,ICAM1,true,"""10760263""","""pmid:10760263"""
321,NFKB1,controls-expression-of,IL6,true,"""8290595""","""pmid:8290595"""
322,NFKB1,controls-expression-of,IL8,true,"""10760263""","""pmid:10760263"""
323,NFKB1,controls-expression-of,LYAM2,true,"""10760263""","""pmid:10760263"""
324,NFKB1,in-complex-with,TF65,,,
325,NR4A1,controls-expression-of,COLI,true,"""2586521,8428574,9315653""","""pmid:2586521,pmid:8428574,pmid:9315653"""
326,OSTCN,neighbor-of,TBP,,"""9388207""","""pmid:9388207"""
327,P53,controls-expression-of,BAX,true,"""11080152""","""pmid:11080152"""
328,P53,controls-expression-of,CDN1A,true,"""11080152""","""pmid:11080152"""
329,PBX1,neighbor-of,PO2F1,,"""9722596""","""pmid:9722596"""
330,PBX1,controls-expression-of,PRL,true,"""9722596""","""pmid:9722596"""
331,PBX1,neighbor-of,PRL,,"""9722596""","""pmid:9722596"""
332,PIT1,controls-expression-of,PRL,true,"""9426156""","""pmid:9426156"""
333,PIT1,neighbor-of,PRL,,"""9426156""","""pmid:9426156"""
334,PO2F1,controls-expression-of,PRL,true,"""9722596""","""pmid:9722596"""
335,PO2F1,neighbor-of,PRL,,"""9722596""","""pmid:9722596"""
336,SGK1,neighbor-of,SMCA4,,"""17440046""","""pmid:17440046"""
337,SGK1,neighbor-of,SMRC1,,"""17440046""","""pmid:17440046"""
338,SGK1,neighbor-of,SMRC2,,"""17440046""","""pmid:17440046"""
339,SGK1,neighbor-of,SMRD1,,"""17440046""","""pmid:17440046"""
340,SMCA4,controls-expression-of,SGK1,true,"""17440046""","""pmid:17440046"""
341,SMCA4,in-complex-with,SMRC1,,,
342,SMCA4,in-complex-with,SMRC2,,,
343,SMCA4,in-complex-with,SMRD1,,,
344,SMRC1,controls-expression-of,SGK1,true,"""17440046""","""pmid:17440046"""
345,SMRC1,in-complex-with,SMRC2,,,
346,SMRC1,in-complex-with,SMRD1,,,
347,SMRC2,controls-expression-of,SGK1,true,"""17440046""","""pmid:17440046"""
348,SMRC2,in-complex-with,SMRD1,,,
